Style,Platform,Keywords,Use Cases,Colors,Typography,Components,Animation,Example Apps
Material Design 2,Android,classic flat design cards elevation,Legacy apps enterprise business,Primary secondary with light/dark variants,Roboto 12 type styles scale,Outlined buttons flat cards app bars,Standard easing 250ms ripple effect,Older Google apps enterprise apps
Cupertino Classic,iOS,clean hierarchical navigation iOS native,iOS apps productivity utilities,System blue gray hierarchies,SF Pro rounded corners,UIKit components navigation bars,iOS spring physics,Settings Phone Camera
Fluent Design,Cross-platform,Microsoft depth light motion material,Microsoft 365 enterprise Windows apps,Accent colors system themes,Segoe UI variable,Fluent buttons acrylic surfaces,Connected animations reveal,Microsoft Outlook Teams OneDrive
Carbon Design,Cross-platform,IBM enterprise data-heavy accessible,Enterprise dashboards data apps,Cool gray blue accessible,IBM Plex Sans Mono,Data tables modals structured,Productive motion tokens,IBM Cloud apps
Ant Design Mobile,Cross-platform,Chinese design system enterprise react,Chinese market enterprise apps,Blue accent neutral backgrounds,PingFang SC system fonts,Ant mobile components lists,Fade slide transitions,Alipay Alibaba apps
Chakra UI Mobile,Cross-platform,accessible composable react-native,React Native apps modern apps,Teal accent semantic colors,System fonts accessible sizes,Composable primitives,Subtle micro-interactions,Modern RN apps
iOS 17 Design,iOS,bold headers grouped lists widgets,iOS apps native experience,System colors semantic tokens,Large title navigation,UIKit SwiftUI hybrid,Spring animations haptics,iOS 17 native apps
Android 14 Design,Android,predictive back gesture nav,Android apps Material 3,Material You dynamic colors,Material 3 typography,Compose components,Predictive back shared element,Android 14 native apps
Samsung One UI,Android,one-handed reachable bottom-focused,Samsung device apps,Pastel accents soft backgrounds,One UI typography,Bottom sheets reachable buttons,Samsung motion,Samsung apps Galaxy Store
MIUI Style,Android,colorful feature-rich customizable,Xiaomi device apps,Vibrant colors themes,MIUI fonts Chinese-first,Custom MIUI components,MIUI transitions,Xiaomi apps Mi Home
HarmonyOS Design,Cross-platform,Huawei atomic services cards,Huawei ecosystem apps,Huawei color palette,HarmonyOS Sans,Atomic service cards,HarmonyOS motion,Huawei apps Petal apps
watchOS Design,watchOS,glanceable complications compact,Apple Watch apps,Vibrant on black OLED,SF Compact Dynamic Type,Watch-specific components,Quick subtle animations,Apple Watch apps
Wear OS Design,Wear OS,tiles glances round display,Wear OS watch apps,Dark background vibrant accents,Product Sans compact,Tiles curved layouts,Minimal efficient,Wear OS apps Fitbit
tvOS Design,tvOS,10-foot experience focus-based,Apple TV apps,Dark mode optimized,TV-optimized large fonts,Focus-driven components,Parallax focus,Apple TV apps
Android TV Design,Android TV,leanback 10-foot D-pad navigation,Android TV apps,Dark surfaces bright accents,Large readable fonts,Leanback components,Leanback transitions,Google TV Netflix apps
Automotive Design,Cross-platform,driver distraction minimized glanceable,Android Auto CarPlay,High contrast large targets,Extra large fonts,Minimal tappable controls,None or minimal,Maps Music apps
Gaming Mobile,Cross-platform,immersive dark HUD-style overlays,Mobile games,Dark with neon accents,Gaming fonts bold,HUD overlays minimal UI,Energetic particle effects,PUBG Genshin Impact
E-commerce Mobile,Cross-platform,conversion-focused image-heavy promotional,Shopping apps marketplace,Brand colors promotional,Clear pricing hierarchy,Product cards cart CTAs,Micro-interactions feedback,Amazon Shopee Temu
Social Media,Cross-platform,feed-based content-first engagement,Social apps content apps,Brand colors minimal UI,Content-first readable,Infinite scroll stories,Pull-to-refresh haptics,Instagram TikTok Twitter
Banking Fintech,Cross-platform,trustworthy secure data-heavy,Banking financial apps,Conservative blue green,Professional clear numbers,Secure inputs data displays,Subtle professional,Bank apps PayPal Revolut
