Palette Name,Platform,Primary,Secondary,Tertiary,Surface,On-Surface,Error,Dynamic Color Support
Nature Eco,Cross-platform,#2E7D32,#66BB6A,#A5D6A7,#E8F5E9,#1B5E20,#C62828,Partial
Ocean Marine,Cross-platform,#0077B6,#00B4D8,#90E0EF,#F0F8FF,#023E8A,#D00000,Partial
Sunset Warm,Cross-platform,#FF6B35,#F7931E,#FFB347,#FFF8F0,#2D2D2D,#CC0000,Manual
Night Dark,Cross-platform,#2C3E50,#34495E,#7F8C8D,#1A1A2E,#FFFFFF,#E74C3C,Manual
Pastel Soft,Cross-platform,#A8DADC,#457B9D,#F4A261,#F1FAEE,#1D3557,#E63946,Manual
Monochrome Gray,Cross-platform,#424242,#757575,#BDBDBD,#FAFAFA,#212121,#B71C1C,No - static
Black White Only,Cross-platform,#000000,#000000,#000000,#FFFFFF,#000000,#CC0000,No - static
Samsung One UI,Android,#0381FE,#7F39FB,#FF7B9C,#FFFFFF,#252525,#FF6464,Samsung palette
Xiaomi MIUI,Android,#FF6900,#00C4FF,#02D42C,#FFFFFF,#1C1C1C,#FF3B30,MIUI themes
Huawei HarmonyOS,Android,#CE0E2D,#0052D9,#FFB100,#FFFFFF,#000000,#FF3B30,HarmonyOS themes
Flutter Default,Flutter,#6200EE,#03DAC6,#BB86FC,#FFFFFF,#000000,#B00020,ThemeData
React Native Paper,React Native,#6200EE,#03DAC5,#B00020,#FFFFFF,#000000,#B00020,Provider themes
Accessible Blue,Cross-platform,#0056B3,#084298,#0A58CA,#FFFFFF,#000000,#DC3545,WCAG AAA
Accessible Green,Cross-platform,#146C43,#0A3622,#198754,#FFFFFF,#000000,#DC3545,WCAG AAA
Accessible Orange,Cross-platform,#CC5200,#7A3100,#FD7E14,#FFFFFF,#000000,#DC3545,WCAG AAA
Colorblind Safe,Cross-platform,#0077BB,#EE7733,#009988,#FFFFFF,#000000,#CC3311,Colorblind optimized
Low Vision,Cross-platform,#000000,#FFFF00,#00FFFF,#FFFFFF,#000000,#FF0000,High contrast
