Component,Platform,SwiftUI API,Compose API,Flutter API,RN Component,Accessibility,Best Practices
Map View,Cross-platform,Map MapKit,GoogleMap OSM,google_maps_flutter,react-native-maps,accessibilityLabel map,Markers clustering controls
Video Player,Cross-platform,VideoPlayer AVPlayer,ExoPlayer AndroidView,video_player,react-native-video,accessibilityLabel video controls,Play pause seek controls
Audio Player,Cross-platform,AVPlayer custom UI,ExoPlayer MediaSession,audioplayers,react-native-sound,accessibilityLabel audio controls,Progress seek volume
Camera View,Cross-platform,Camera DataScannerViewController,CameraX camera2,camera,react-native-camera,accessibilityLabel camera,Permission handling flash
QR Scanner,Cross-platform,DataScannerViewController,ML Kit ZXing,qr_code_scanner,react-native-qrcode-scanner,accessibilityLabel scanner,Frame alignment feedback
Barcode Scanner,Cross-platform,DataScannerViewController,ML Kit ZXing,flutter_barcode_scanner,react-native-camera,accessibilityLabel barcode scanner,Multiple format support
Biometric Auth,Cross-platform,LocalAuthentication,BiometricPrompt,local_auth,react-native-biometrics,accessibilityLabel authenticate,Face ID Touch ID fallback
Share Sheet,Cross-platform,ShareLink,Intent.createChooser,Share,Share from RN,accessibilityAction share,Native share sheet
In-App Browser,Cross-platform,SafariViewController,Custom Tabs WebView,url_launcher webview,react-native-webview,accessibilityLabel browser,Navigation done button
Rich Text Editor,Cross-platform,TextEditor attributed,Custom or library,flutter_quill,react-native-pell-rich-editor,accessibilityRole textbox,Formatting toolbar
Markdown Viewer,Cross-platform,AttributedString,Markwon library,flutter_markdown,react-native-markdown-display,accessibilityRole document,Links images code blocks
PDF Viewer,Cross-platform,PDFKit PDFView,PdfRenderer,flutter_pdfview,react-native-pdf,accessibilityRole document,Zoom pages search
Signature Pad,Cross-platform,Custom Canvas,Custom Canvas,signature_pad,react-native-signature-capture,accessibilityLabel signature,Clear undo save
Charts (Bar/Line),Cross-platform,Charts Chart + BarMark or LineMark,Canvas plus chart library (Vico or MPAndroidChart),fl_chart,react-native-svg + victory-native,accessibilityLabel with value summary and units,Label axes and units; allow tap for exact values
KPI Card,Cross-platform,LabeledContent or Grid with Text,Card with Text,Card + Text,View + Text,accessibilityLabel metric name and value,Keep 1 to 3 primary metrics and show delta
Sparkline,Cross-platform,Chart with LineMark and minimal axes,Canvas small line chart,fl_chart LineChart,react-native-svg path,accessibilityLabel trend and last value,Use for trends only and pair with numeric value
