Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Layout,Provide stable keys for list items,Stable keys help Compose track item identity,Use unique stable IDs as keys,Use index as key or omit keys,"items(items, key = { it.id }) { }","items(items) { } // or items(items.size) { index -> }",High,https://developer.android.com/develop/ui/compose/lists#item-keys
Animation,Use animateAsState for simple animations,animateAsState handles animation lifecycle,Use animate*AsState for property animations,Manually manage animation state,"val alpha by animateFloatAsState(if (visible) 1f else 0f)","var alpha by remember { mutableStateOf(1f) }; LaunchedEffect(visible) { animate... }",Medium,https://developer.android.com/develop/ui/compose/animation/value-based
Animation,Use updateTransition for coordinated animations,Transition coordinates multiple animated values,Use updateTransition for related property animations,Create separate animations for related properties,"val transition = updateTransition(selected); val color by transition.animateColor { }; val size by transition.animateDp { }","val color by animateColorAsState(); val size by animateDpAsState()",Medium,https://developer.android.com/develop/ui/compose/animation/composables-modifiers#updatetransition
Accessibility,Set contentDescription for images,Screen readers need descriptions for images,Provide meaningful contentDescription,Leave contentDescription null for meaningful images,"Icon(Icons.Default.Favorite, contentDescription = ""Add to favorites"")","Icon(Icons.Default.Favorite, contentDescription = null)",Critical,https://developer.android.com/develop/ui/compose/accessibility
Accessibility,Use semantics for custom components,Provide accessibility info for custom UI,Use Modifier.semantics for custom components,Skip semantics on interactive custom views,"Box(Modifier.semantics { role = Role.Button; contentDescription = ""Submit"" }.clickable { })","Box(Modifier.clickable { }) // no semantics",High,https://developer.android.com/develop/ui/compose/accessibility/semantics
Performance,Use derivedStateOf for computed state,derivedStateOf caches computation until dependencies change,Use derivedStateOf for filtered/sorted lists,Compute derived values in composition,"val filteredList by remember { derivedStateOf { list.filter { it.active } } }","val filteredList = list.filter { it.active } // recomputes every recomposition",High,https://developer.android.com/develop/ui/compose/side-effects#derivedstateof
Performance,Use stable types for compose stability,Compose can skip recomposition of stable composables,Use @Stable or @Immutable annotations data classes,Pass mutable lists or unstable types,"@Immutable data class UiState(val items: List<Item>)","data class UiState(val items: MutableList<Item>)",High,https://developer.android.com/develop/ui/compose/performance/stability
Predictive Back,Handle predictive back gestures,Android 14+ shows back destination preview,Use PredictiveBackHandler for custom back animations,Block back gestures without handling,"PredictiveBackHandler { progress -> animateBackProgress(progress.fraction) }","onBackPressedDispatcher.addCallback { finish() }",High,https://developer.android.com/develop/ui/compose/animation/predictive-back
Edge-to-Edge,Enable edge-to-edge display,Draw behind system bars for immersive experience,Use WindowInsets.systemBars for padding,Use fixed padding for system bars,"Scaffold(modifier = Modifier.padding(WindowInsets.systemBars.asPaddingValues()))","Scaffold(modifier = Modifier.padding(top = 24.dp, bottom = 48.dp))",High,https://developer.android.com/develop/ui/compose/layouts/insets
Edge-to-Edge,Handle IME insets,Adjust layout when keyboard appears,Use WindowInsets.ime for keyboard insets,Ignore keyboard covering content,"TextField(modifier = Modifier.imePadding())","TextField() // hidden by keyboard",Medium,https://developer.android.com/develop/ui/compose/layouts/insets#ime
Compose BOM,Use Compose BOM for versions,BOM ensures compatible Compose library versions,Import Compose BOM align library versions,Specify individual version for each library,"implementation(platform(""androidx.compose:compose-bom:2024.01.00""))","implementation(""androidx.compose.ui:ui:1.5.0"") // manual",Medium,https://developer.android.com/develop/ui/compose/bom
Type Safety,Use type-safe navigation,Navigation 2.8+ supports type-safe routes,Define route objects with @Serializable,Use string routes with manual parsing,"@Serializable data class Detail(val id: String) NavHost { composable<Detail> { } }","composable(""detail/{id}"") { } // string parsing",High,https://developer.android.com/develop/ui/compose/navigation/type-safety
Adaptive,Use NavigationSuiteScaffold,Automatic navigation rail/bar/drawer switching,Use NavigationSuiteScaffold for adaptive apps,Manually switch between NavigationBar and NavigationRail,"NavigationSuiteScaffold(navigationItems) { content }","if (isTablet) NavigationRail() else NavigationBar()",Medium,https://developer.android.com/develop/ui/compose/layouts/adaptive
Adaptive,Use window size classes,Determine layout based on available width,Use calculateWindowSizeClass for breakpoints,Use fixed width checks for layout decisions,"when (windowSizeClass.widthSizeClass) { Compact -> ; Medium -> ; Expanded -> }","if (LocalConfiguration.current.screenWidthDp > 600)",High,https://developer.android.com/develop/ui/compose/layouts/adaptive#window-size-classes
Testing,Use createComposeRule for tests,ComposeTestRule provides testing utilities,Use composeTestRule for UI tests,Test composables without ComposeTestRule,"@get:Rule val composeTestRule = createComposeRule()","// manual Activity testing",Medium,https://developer.android.com/develop/ui/compose/testing
Testing,Use semantic matchers,Find elements by semantics for reliable tests,Use onNodeWithText onNodeWithContentDescription,Use visual position for test assertions,"composeTestRule.onNodeWithText(""Submit"").performClick()","// find button at position x y",Medium,https://developer.android.com/develop/ui/compose/testing/testing-cheatsheet
Theming,Extend color scheme safely,Add custom colors while keeping M3 tokens,Use CompositionLocal for custom theme extensions,Hardcode custom colors in composables,"val LocalCustomColors = compositionLocalOf { CustomColors() }","@Composable fun MyButton() { Surface(color = Color(0xFF123456)) }",Medium,https://developer.android.com/develop/ui/compose/designsystems/custom
Side Effects,Use LaunchedEffect for coroutines,Launch coroutines tied to composable lifecycle,Use LaunchedEffect with keys for scoped effects,Launch coroutines in composition without effect,"LaunchedEffect(userId) { loadUser(userId) }","scope.launch { loadUser(userId) } // in composition",Critical,https://developer.android.com/develop/ui/compose/side-effects#launchedeffect
Side Effects,Use DisposableEffect for cleanup,Register callbacks that need cleanup,Use DisposableEffect with onDispose for cleanup,Register listeners without cleanup,"DisposableEffect(Unit) { listener.register(); onDispose { listener.unregister() } }","listener.register() // never unregistered",High,https://developer.android.com/develop/ui/compose/side-effects#disposableeffect
Modifier,Order modifiers correctly,Modifier order affects behavior and performance,Apply size before other modifiers use clickable after clip,Apply clickable before clip for wrong hit area,"Modifier.clip(CircleShape).clickable { } // correct hit area","Modifier.clickable { }.clip(CircleShape) // square hit area",High,https://developer.android.com/develop/ui/compose/modifiers#order-matters
Camera,Use CameraX PreviewView,"PreviewView handles aspect ratio, scale, and rotation",Use PreviewView or CameraViewfinder with a scaleType,Stretch SurfaceView or bitmap frames,"PreviewView(context).apply { scaleType = PreviewView.ScaleType.FILL_CENTER }","Image(bitmap = frame)",High,https://developer.android.com/media/camera/camerax/preview
Camera,Handle foldables and window changes,Avoid fixed orientation and adapt preview/control layout,Use WindowSizeClass and split preview and controls on large screens,Assume portrait-only or fixed window size,"if (windowSizeClass.widthSizeClass >= Expanded) { Row { Preview(); Controls() } }","activity.requestedOrientation = SCREEN_ORIENTATION_PORTRAIT",Medium,https://android-developers.googleblog.com/2022/11/introducing-camera-viewfinder.html
Performance,Use graphicsLayer for hardware acceleration,graphicsLayer enables efficient transformations,Use graphicsLayer for scale rotation alpha,Use Modifier.scale rotate alpha separately,"Modifier.graphicsLayer { scaleX = 1.5f; alpha = 0.5f }","Modifier.scale(1.5f).alpha(0.5f) // less efficient",Medium,https://developer.android.com/develop/ui/compose/graphics/draw/modifiers#graphicslayer
