Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Layout,Use LazyVStack LazyHStack for lists,Lazy stacks only render visible items,Use LazyVStack inside ScrollView for long lists,Use VStack for hundreds of items,"ScrollView { LazyVStack { ForEach(items) { ItemView($0) } } }","ScrollView { VStack { ForEach(items) { ItemView($0) } } }",High,https://developer.apple.com/documentation/swiftui/lazyvstack
Layout,Prefer Grid over nested stacks,Grid provides better performance and alignment,Use Grid for tabular 2D layouts,Nest HStack in VStack for grids,"Grid { GridRow { Text(""A""); Text(""B"") } }","VStack { HStack { Text(""A""); Text(""B"") } }",Medium,https://developer.apple.com/documentation/swiftui/grid
Animation,Use withAnimation for state changes,Wrap state changes in withAnimation for transitions,Use withAnimation with spring for natural feel,Mutate state without animation context,"withAnimation(.spring()) { isExpanded.toggle() }","isExpanded.toggle()",Medium,https://developer.apple.com/documentation/swiftui/withanimation
Animation,Respect reduce motion preference,Check isReduceMotionEnabled for accessibility,Provide instant alternatives when reduce motion on,Ignore accessibility motion preferences,"withAnimation(reduceMotion ? .none : .spring()) { }","withAnimation(.spring()) { } // always animate",High,https://developer.apple.com/documentation/swiftui/environmentvalues/accessibilityreducemotion
Accessibility,Add accessibility labels,Provide meaningful labels for VoiceOver,Use accessibilityLabel for non-text elements,Leave icons without labels,"Image(systemName: ""heart.fill"").accessibilityLabel(""Favorite"")","Image(systemName: ""heart.fill"")",Critical,https://developer.apple.com/documentation/swiftui/view/accessibilitylabel(_:)-1d7jv
Accessibility,Support Dynamic Type,Use system fonts that scale with user preferences,Use .font(.body) or custom scaled fonts,Use fixed point sizes,"Text(""Hello"").font(.body)","Text(""Hello"").font(.system(size: 16))",High,https://developer.apple.com/documentation/swiftui/dynamictypesize
Performance,Use task for async work,Launch async work tied to view lifecycle,Use .task modifier for async operations,Use onAppear with Task for async,"View().task { await loadData() }","View().onAppear { Task { await loadData() } }",Medium,https://developer.apple.com/documentation/swiftui/view/task(priority:_:)
Performance,Avoid expensive body computations,Keep body computations lightweight,Extract expensive work to computed properties or methods,Compute heavy operations in body,"var body: some View { Text(cachedTitle) } var cachedTitle: String { ... }","var body: some View { Text(expensiveComputation()) }",High,https://developer.apple.com/documentation/swiftui/view/body-swift.property
iOS 26,Use glassEffectID for morphing,Enable glass element shape transitions,Assign matching IDs for morph transitions,Use matchedGeometryEffect for glass,"Button().glassEffect().glassEffectID(""nav"")","Button().glassEffect().matchedGeometryEffect(id: ""nav"" in: ns)",High,https://developer.apple.com/documentation/SwiftUI/View/glassEffectID
iOS 26,Tab bar auto-collapse,iOS 26 TabView collapses on scroll automatically,Let TabView manage collapse behavior,Manually implement tab bar hiding,"TabView { ScrollView { content } }","TabView { }.opacity(isScrolled ? 0 : 1)",Medium,https://developer.apple.com/documentation/SwiftUI/TabView
iOS 26,Concentric corners,Align nested corner radii with system curves,Use .containerRelativeFrame for system alignment,Use fixed corner radii in containers,"RoundedRectangle(cornerRadius: 20).containerRelativeFrame(.horizontal)","RoundedRectangle(cornerRadius: 16) // arbitrary",Medium,https://developer.apple.com/design/human-interface-guidelines/
Observable,Use @Observable macro,iOS 17+ simplifies observation with macro,Use @Observable for model types,Use ObservableObject protocol in new code,"@Observable class Model { var count = 0 }","class Model: ObservableObject { @Published var count = 0 }",High,https://developer.apple.com/documentation/observation/observable
Observable,Use @Bindable for bindings,Create bindings to @Observable properties,Use @Bindable in views needing bindings,Use manual Binding creation,"@Bindable var model: Model","Binding(get: { model.value } set: { model.value = $0 })",Medium,https://developer.apple.com/documentation/observation/bindable
Navigation,Use NavigationSplitView for iPad,Two or three column layouts for larger screens,Use NavigationSplitView on iPad,Use NavigationStack for all device sizes,"NavigationSplitView { sidebar } content: { } detail: { }","NavigationStack { } // even on iPad",High,https://developer.apple.com/documentation/swiftui/navigationsplitview
Navigation,Handle deep links,Support URL-based navigation with navigationDestination,Use navigationDestination(for:) with typed values,Parse URLs manually in onOpenURL,"NavigationStack { }.navigationDestination(for: ProductID.self) { id in ProductView(id) }","onOpenURL { url in parseAndNavigate(url) }",Medium,https://developer.apple.com/documentation/swiftui/view/navigationdestination(for:destination:)
StoreKit,Use StoreView for purchases,StoreKit 2 provides SwiftUI purchase views,Use StoreView and ProductView for simple stores,Build custom purchase UI from scratch,"StoreView(ids: productIDs) { product in ProductIcon(product) }","ForEach(products) { Button(""Buy"") { await purchase(product) } }",Medium,https://developer.apple.com/documentation/storekit/storeview
StoreKit,Use SubscriptionStoreView,Display subscription options with built-in UI,Use SubscriptionStoreView for subscription apps,Build custom subscription picker,"SubscriptionStoreView(groupID: subscriptionGroupID)","VStack { ForEach(plans) { PlanCell($0) } }",Medium,https://developer.apple.com/documentation/storekit/subscriptionstoreview
Widget,Use containerBackground for widgets,iOS 17+ requires explicit container background,Set containerBackground modifier in widgets,Use background modifier in widget,"Text(""Hello"").containerBackground(.fill.tertiary, for: .widget)","Text(""Hello"").background(Color.gray)",High,https://developer.apple.com/documentation/widgetkit/containerbackground
Widget,Use AppIntents for interactivity,Enable widget buttons with App Intents,Define AppIntent for widget actions,Use widgetURL for all interactions,"Button(intent: MyIntent()) { Text(""Tap"") }","Link(destination: URL(string: ""action"")!) { Text(""Tap"") }",Medium,https://developer.apple.com/documentation/appintents
Charts,Use Swift Charts,Native charting framework since iOS 16,Use Chart with marks for data visualization,Use third-party chart libraries,"Chart { ForEach(data) { BarMark(x: .value(""X"" $0.x) y: .value(""Y"" $0.y)) } }","// Use Charts pod or UIKit chart",High,https://developer.apple.com/documentation/charts
Camera,Use AVCaptureVideoPreviewLayer,Use system preview layer for correct scale and rotation,Embed AVCaptureVideoPreviewLayer in a UIViewRepresentable,Render camera frames manually in SwiftUI,"AVCaptureVideoPreviewLayer(session: session)","Image(uiImage: frame)",High,https://developer.apple.com/documentation/avfoundation/avcapturevideopreviewlayer
Camera,Respect Camera Control overlay,Leave space for system overlay and keep labels short,Place controls away from overlay and use SF Symbols,Cover the viewfinder with controls or long labels,"overlay(alignment: .bottom) { ShutterButton() }","overlay(alignment: .center) { Controls() }",Medium,https://developer.apple.com/design/human-interface-guidelines/camera-control
MapKit,Use Map with MapContent,SwiftUI Map with marker and annotation content,Use Map with MapContentBuilder for markers,Use MKMapView with UIViewRepresentable,"Map { ForEach(locations) { Marker($0.name, coordinate: $0.coord) } }","UIViewRepresentable wrapping MKMapView",Medium,https://developer.apple.com/documentation/mapkit/map
Data,Use SwiftData over Core Data,SwiftData is modern persistence for SwiftUI,Use @Model macro for persistence types,Use Core Data with NSManagedObject,"@Model class Item { var name: String }","class Item: NSManagedObject { @NSManaged var name: String }",Medium,https://developer.apple.com/documentation/swiftdata
Preview,Use #Preview macro,Simplified preview syntax in Xcode 15+,Use #Preview for view previews,Use PreviewProvider protocol,"#Preview { MyView() }","struct MyView_Previews: PreviewProvider { static var previews: some View { MyView() } }",Low,https://developer.apple.com/documentation/swiftui/preview
