Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Components,Text button for low emphasis,Lowest emphasis for auxiliary actions,Use TextButton for dismiss or tertiary actions,Use TextButton for primary actions,"TextButton(onClick = { }) { Text(""Learn more"") }","TextButton { Text(""Submit"") } // too low emphasis",Medium,https://m3.material.io/components/buttons/guidelines
Components,One FAB per screen,FAB is for the primary action,Use single FAB for most important action,Use multiple FABs or FAB for secondary actions,"Scaffold(floatingActionButton = { FloatingActionButton { Icon(Icons.Add) } })","Row { FAB { Icon(Add) }; FAB { Icon(Edit) }; FAB { Icon(Share) } }",High,https://m3.material.io/components/floating-action-button/guidelines
Components,NavigationBar for 3-5 destinations,Bottom nav for main sections,Use NavigationBar with 3-5 items,"Use more than 5 or less than 3 items","NavigationBar { items.take(5).forEach { NavigationBarItem(...) } }","NavigationBar { items.take(7).forEach { } } // too many",High,https://m3.material.io/components/navigation-bar/guidelines
Motion,Use emphasized easing,M3 motion uses emphasized curves,Use emphasizedDecelerate for enter emphasizedAccelerate for exit,Use linear or standard easing,"animateEnter(animationSpec = tween(easing = EmphasizedDecelerateEasing))","animate(easing = LinearEasing)",Medium,https://m3.material.io/styles/motion/easing-and-duration/tokens-specs
Motion,300-400ms for mobile,Appropriate durations for mobile,Use 300ms for smaller 400ms for larger animations,Use too short or too long durations,"animate(durationMillis = 300)","animate(durationMillis = 100) // too fast or 800 // too slow",Medium,https://m3.material.io/styles/motion/easing-and-duration/tokens-specs
Accessibility,All color roles meet WCAG,on* colors contrast with base colors,Use onPrimary with primary onSurface with surface,Mix colors that dont contrast,"Surface(color = colorScheme.primary) { Text(color = colorScheme.onPrimary) }","Surface(color = colorScheme.primary) { Text(color = colorScheme.primaryContainer) }",Critical,https://m3.material.io/foundations/overview/assistive-technology
Accessibility,Touch targets 48dp minimum,Interactive elements need adequate size,Ensure 48x48dp minimum touch target,Make touch targets smaller than 48dp,"IconButton(modifier = Modifier.size(48.dp)) { Icon(...) }","Icon(modifier = Modifier.clickable { }.size(24.dp)) // too small",Critical,https://m3.material.io/foundations/designing/structure
Expressive,Use M3 Expressive physics,Material 3 Expressive adds motion physics system,Apply physics-based spring animations,Use linear or basic easing for interactions,"animate(spring(stiffness = Spring.StiffnessLow dampingRatio = 0.6f))","animate(tween(300 easing = LinearEasing))",Medium,https://design.google/library/expressive-material-design-google-research
Expressive,35 new shapes available,M3 Expressive adds morphing shape variations,Use shape morphing for state transitions,Static shapes for interactive elements,"animatedShape from shapeA to shapeB","val shape = RoundedCornerShape(16.dp) // static",Medium,https://m3.material.io/styles/shape/shape-scale-tokens
Expressive,Emotional color palettes,M3 Expressive expands color palette options,Use emotional color combinations for mood,Ignore emotional context of colors,"Use warm colors for celebration cool for calm","Random color choices without emotional context",Low,https://design.google/library/expressive-material-design-google-research
Components,Use SearchBar with Search view,M3 SearchBar provides full search experience,Use SearchBar with DockedSearchBar,Build custom search input fields,"SearchBar(query onQueryChange onSearch active onActiveChange)","TextField(value = query, placeholder = Search)",Medium,https://m3.material.io/components/search/overview
Components,Chips for filter or input,FilterChip for selections InputChip for tags,Use appropriate chip type for use case,Use Button instead of Chip for selections,"FilterChip(selected onClick label)","Button(onClick) { Text(tag) } // should be chip",Medium,https://m3.material.io/components/chips/overview
Components,Use ModalBottomSheet correctly,Full-width modal for quick actions,Use ModalBottomSheet with Scaffold,Use AlertDialog for action lists,"ModalBottomSheet(onDismissRequest sheetState) { ListItem { } }","AlertDialog(items) // wrong pattern",High,https://m3.material.io/components/bottom-sheets/overview
Components,ListItem for structured lists,ListItem provides consistent list rows,Use ListItem with headline supporting text,Build custom Row layouts for lists,"ListItem(headlineContent = supportingContent = leadingContent = )","Row { Icon(); Column { Text(); Text() } }",Medium,https://m3.material.io/components/lists/overview
Adaptive,Canonical layouts for large screens,M3 defines list-detail supporting pane feed,Use canonical layouts for tablets foldables,Design only for phone screens,"ListDetailPaneScaffold { listPane { } detailPane { } }","LazyColumn only without tablet adaptation",High,https://m3.material.io/foundations/layout/applying-layout/window-size-classes
Adaptive,NavigationRail for medium screens,Medium width 600-840dp uses rail,Switch to NavigationRail on medium screens,Keep bottom nav on tablets,"when (widthSizeClass) { Compact -> NavigationBar(); Medium -> NavigationRail() }","NavigationBar() // always",High,https://m3.material.io/components/navigation-rail/overview
Adaptive,Permanent NavigationDrawer for expanded,Expanded screens 840dp+ use drawer,Show permanent drawer on expanded screens,Hide navigation on large screens,"PermanentNavigationDrawer { content }","No navigation visible on tablet",Medium,https://m3.material.io/components/navigation-drawer/overview
Color,Container colors for surfaces,Use Container suffix colors for elevated surfaces,primaryContainer surfaceContainer etc,Use primary for all surfaces,"Surface(color = colorScheme.primaryContainer)","Surface(color = colorScheme.primary) // too strong",Medium,https://m3.material.io/styles/color/roles
Color,Surface container levels,5 surface container levels for depth,Use surfaceContainerLowest to Highest for hierarchy,Single surface color everywhere,"surfaceContainerLow for cards surfaceContainer for app","Surface always with same level",Low,https://m3.material.io/styles/color/roles
Motion,Container transform for hero,Shared element transition for detail views,Use container transform for list to detail,Simple crossfade for navigation,"containerTransform sharedElement","AnimatedVisibility(enter = fadeIn)",Medium,https://m3.material.io/styles/motion/transitions/container-transform
Motion,Fade through for unrelated,Content swap without spatial relationship,Use fade through for tab switches,Container transform for unrelated content,"fadeThrough for TabRow content","containerTransform for different tabs",Medium,https://m3.material.io/styles/motion/transitions/fade-through
